,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-04-01,2900.0,1.0,40.0,clear
1,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-01,3800.0,1.5,40.0,clear
2,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-01-19,3000.0,5.7,21.0,clear
3,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-01-19,3800.0,2.4,21.0,clear
4,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-19,3650.0,68.2,21.0,clear
5,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-02-16,3250.0,1.2,23.0,clear
6,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-02-16,3300.0,2.2,23.0,clear
7,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-16,3500.0,68.1,23.0,clear
8,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-04-03,3250.0,0.1,39.4,clear
9,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-03,3250.0,0.2,39.4,clear
10,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-03,3250.0,28.7,39.4,clear
11,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-03-21,3450.0,3.5,29.6,clear
12,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-21,3475.0,1.0,29.6,clear
13,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-03-21,3400.0,0.2,29.6,clear
14,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-21,3425.0,103.2,29.6,clear
15,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-03-23,3450.0,6.0,35.0,clear
16,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-23,3450.0,20.9,35.0,clear
17,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-03-23,3500.0,7.9,35.0,clear
18,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-23,3500.0,81.2,35.0,clear
19,Green Gram (Moong),Pipar City,2012-03-23,3050.0,5.5,35.0,clear
20,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-04-26,3400.0,25.6,35.6,clear
21,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-04-27,3400.0,27.7,36.2,clear
22,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-01-05,3650.0,1.0,24.8,clear
23,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-05,3400.0,94.7,24.8,clear
24,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-05,3650.0,23.0,24.8,clear
25,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-02-05,3650.0,1.5,23.0,clear
26,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-05,3650.0,31.5,23.0,clear
27,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-02-05,3500.0,2.5,23.0,clear
28,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-05,3500.0,11.1,23.0,clear
29,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-04-05,3700.0,0.8,39.0,clear
30,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-05,3725.0,42.3,39.0,clear
31,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-05,3350.0,13.5,39.0,clear
32,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-10-05,4000.0,0.8,35.2,clear
33,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-05,4050.0,12.9,35.2,clear
34,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-05,3650.0,57.6,35.2,clear
35,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-13,4050.0,3.8,38.0,rain
36,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-13,3500.0,0.6,38.0,rain
37,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-15,4000.0,0.5,40.0,clear
38,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-15,4000.0,18.4,40.0,clear
39,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-15,3500.0,76.2,40.0,clear
40,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-17,4050.0,1.0,39.0,clear
41,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-17,4050.0,2.7,39.0,clear
42,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-17,3400.0,2.0,39.0,clear
43,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-17,3350.0,53.0,39.0,clear
44,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-29,3950.0,0.5,43.2,clear
45,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-29,3950.0,4.0,43.2,clear
46,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-29,3050.0,15.6,43.2,clear
47,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-30,3900.0,28.5,42.8,clear
48,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-30,3950.0,20.9,42.8,clear
49,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-30,3050.0,13.4,42.8,clear
50,Green Gram (Moong),Pipar City,2012-05-30,3200.0,1.5,42.8,clear
51,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-05-31,3950.0,10.0,43.4,clear
52,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-31,3600.0,0.7,43.4,clear
53,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-31,3450.0,3.6,43.4,clear
54,Green Gram (Moong),Pipar City,2012-05-31,3400.0,1.6,43.4,clear
55,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-11-06,3950.0,2.3,31.6,clear
56,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-06,3950.0,20.5,31.6,clear
57,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-06,3350.0,85.6,31.6,clear
58,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-06-19,3950.0,0.9,40.0,clear
59,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-19,3950.0,2.4,40.0,clear
60,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-19,3400.0,49.0,40.0,clear
61,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-06-30,4000.0,0.8,40.8,clear
62,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-07-28,4500.0,1.0,32.4,clear
63,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-07-08,4550.0,0.8,37.2,clear
64,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-08,5250.0,46.7,37.2,clear
65,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-09-29,4250.0,5.0,35.8,clear
66,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-08-12,4050.0,2.2,33.2,rain
67,Bengal Gram(Gram),Jodhpur (Grain)(Mandor),2012-12-19,2500.0,0.3,24.2,clear
68,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-12-19,5169.0,2.8,24.2,clear
69,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-12-19,5169.0,38.7,24.2,clear
70,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-13,3000.0,1.7,25.0,clear
71,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-01-13,4000.0,1.7,25.0,clear
72,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-13,3800.0,78.0,25.0,clear
73,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-16,3250.0,17.0,22.4,clear
74,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-16,3300.0,31.8,22.4,clear
75,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-21,3250.0,0.3,21.8,clear
76,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-01-21,3500.0,2.4,21.8,clear
77,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-21,3400.0,71.4,21.8,clear
78,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-30,3000.0,5.4,23.8,clear
79,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-30,3350.0,22.2,23.8,clear
80,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-02,3025.0,2.2,30.6,clear
81,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-03-02,3400.0,0.1,30.6,clear
82,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-02,3300.0,87.9,30.6,clear
83,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-02,3050.0,14.6,42.0,clear
84,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-07-02,3100.0,0.1,42.0,clear
85,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-02,3250.0,51.9,42.0,clear
86,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-02,3100.0,0.4,36.6,clear
87,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-10-02,3600.0,6.2,36.6,clear
88,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-02,3300.0,37.5,36.6,clear
89,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-12-02,3050.0,0.3,26.0,clear
90,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-12-02,3400.0,22.4,26.0,clear
91,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-14,3175.0,1.0,24.0,clear
92,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-02-14,3150.0,3.2,24.0,clear
93,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-14,3150.0,54.2,24.0,clear
94,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-18,3250.0,2.4,25.8,clear
95,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-18,3300.0,47.5,25.8,clear
96,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-24,3600.0,1.0,24.4,clear
97,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-24,3250.0,79.0,24.4,clear
98,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-29,3600.0,8.7,30.2,clear
99,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-02-29,3250.0,0.3,30.2,clear
100,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-02-29,3300.0,47.4,30.2,clear
101,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-03,3600.0,5.4,22.8,clear
102,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-01-03,3300.0,0.7,22.8,clear
103,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-01-03,3175.0,56.4,22.8,clear
104,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-03,3250.0,1.0,40.0,clear
105,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-03,3250.0,16.7,40.0,clear
106,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-03,3250.0,17.0,39.0,clear
107,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-03,3250.0,31.8,39.0,clear
108,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-13,3250.0,13.3,27.2,clear
109,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-13,3400.0,32.2,27.2,clear
110,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-16,3375.0,49.8,34.6,clear
111,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-16,3400.0,78.0,34.6,clear
112,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-17,3350.0,25.2,34.8,clear
113,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-17,3350.0,91.5,34.8,clear
114,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-18,3350.0,33.3,37.0,clear
115,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-03-18,3500.0,0.1,37.0,clear
116,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-18,3350.0,134.6,37.0,clear
117,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-19,3350.0,20.9,36.8,clear
118,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-19,3350.0,78.4,36.8,clear
119,Green Gram (Moong),Pipar City,2012-03-19,3200.0,1.9,36.8,clear
120,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-20,3450.0,24.4,30.8,clear
121,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-20,3150.0,183.9,30.8,clear
122,Green Gram (Moong),Pipar City,2012-03-20,2900.0,1.7,30.8,clear
123,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-22,3375.0,49.7,30.8,clear
124,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-03-22,3500.0,1.8,30.8,clear
125,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-22,3500.0,94.0,30.8,clear
126,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-25,3450.0,11.5,38.6,clear
127,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-25,3500.0,68.0,38.6,clear
128,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-26,3450.0,10.6,37.0,clear
129,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-26,3500.0,59.1,37.0,clear
130,Green Gram (Moong),Pipar City,2012-03-26,3569.0,7.1,37.0,clear
131,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-27,3550.0,1.6,37.0,clear
132,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-27,3500.0,77.2,37.0,clear
133,Green Gram (Moong),Pipar City,2012-03-27,3800.0,1.1,37.0,clear
134,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-28,3450.0,9.1,37.0,clear
135,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-28,3500.0,83.2,37.0,clear
136,Green Gram (Moong),Pipar City,2012-03-28,3100.0,1.7,37.0,clear
137,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-29,3300.0,22.1,36.4,clear
138,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-29,3500.0,64.1,36.4,clear
139,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-30,3500.0,8.7,39.0,clear
140,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-30,3500.0,73.6,39.0,clear
141,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-04,3425.0,3.8,33.6,clear
142,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-04,3700.0,65.2,33.6,clear
143,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-04,3425.0,0.9,39.6,rain
144,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-04,3425.0,0.9,39.6,rain
145,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-04,3600.0,72.1,39.6,rain
146,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-04,3350.0,17.4,39.6,clear
147,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-04,3350.0,17.4,39.6,clear
148,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-04,3500.0,80.8,39.6,clear
149,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-04,3350.0,2.5,41.8,clear
150,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-04,3350.0,2.5,41.8,clear
151,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-07-04,3600.0,0.1,41.8,clear
152,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-04,3750.0,80.8,41.8,clear
153,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-08-04,3350.0,46.0,33.8,clear
154,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-08-04,3350.0,46.0,33.8,clear
155,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-08-04,3500.0,66.3,33.8,clear
156,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-09-04,3350.0,13.3,32.8,clear
157,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-09-04,3350.0,13.3,32.8,clear
158,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-09-04,3500.0,51.4,32.8,clear
159,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-04,3350.0,30.9,36.0,clear
160,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-04,3350.0,30.9,36.0,clear
161,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-10-04,3600.0,2.1,36.0,clear
162,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-10-04,3500.0,90.5,36.0,clear
163,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-04,3450.0,60.0,31.8,clear
164,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-11-04,3600.0,0.6,31.8,clear
165,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-04,3500.0,43.7,31.8,clear
166,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-12-04,3350.0,45.6,28.2,clear
167,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-12-04,3700.0,0.6,28.2,clear
168,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-12-04,3500.0,71.0,28.2,clear
169,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-13,3450.0,53.3,35.2,rain
170,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-13,3500.0,82.3,35.2,rain
171,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-14,3400.0,3.8,32.0,rain
172,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-14,3500.0,51.8,32.0,rain
173,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-15,3375.0,2.0,33.8,clear
174,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-15,3500.0,1.3,33.8,clear
175,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-15,3500.0,82.5,33.8,clear
176,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-16,3400.0,38.0,37.4,clear
177,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-16,3500.0,3.4,37.4,clear
178,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-16,3500.0,62.7,37.4,clear
179,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-17,3350.0,54.6,36.4,clear
180,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-17,3500.0,105.7,36.4,clear
181,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-18,3350.0,44.2,34.4,clear
182,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-18,3500.0,47.1,34.4,clear
183,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-19,3350.0,28.1,35.0,clear
184,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-19,3100.0,24.5,35.0,clear
185,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-20,3325.0,15.1,30.6,clear
186,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-20,3700.0,2.5,30.6,clear
187,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-20,3700.0,49.8,30.6,clear
188,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-23,3400.0,111.3,35.6,clear
189,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-23,3500.0,103.0,35.6,clear
190,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-24,3400.0,141.6,35.2,clear
191,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-24,3500.0,1.0,35.2,clear
192,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-24,3500.0,23.7,35.2,clear
193,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-25,3400.0,10.8,36.2,clear
194,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-04-25,3500.0,0.2,36.2,clear
195,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-25,3500.0,10.1,36.2,clear
196,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-30,3400.0,37.4,38.0,clear
197,Black Gram (Urd Beans),Pipar City,2012-04-30,3400.0,5.8,38.0,clear
198,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-30,3500.0,13.5,38.0,clear
199,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-05,3850.0,12.7,31.0,clear
200,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-03-05,3400.0,9.9,31.0,clear
201,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-05,3850.0,96.3,38.8,clear
202,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-05,3350.0,103.9,38.8,clear
203,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-08-05,3950.0,42.7,35.4,clear
204,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-09-05,3950.0,6.1,34.6,clear
205,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-09-05,3400.0,0.2,34.6,clear
206,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-09-05,3400.0,40.7,34.6,clear
207,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-05,4000.0,54.1,31.2,clear
208,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-11-05,3500.0,61.0,31.2,clear
209,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-14,4050.0,73.5,38.6,clear
210,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-14,3500.0,119.6,38.6,clear
211,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-16,4000.0,28.3,40.8,clear
212,Black Gram (Urd Beans),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-16,3000.0,42.4,40.8,clear
213,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-16,3500.0,1.4,40.8,clear
214,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-16,3500.0,71.0,40.8,clear
215,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-18,3950.0,20.9,39.0,clear
216,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-18,3100.0,41.0,39.0,clear
217,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-21,4050.0,42.8,41.8,clear
218,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-21,3300.0,11.7,41.8,clear
219,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-21,3100.0,98.9,41.8,clear
220,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-22,3950.0,29.5,41.4,clear
221,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-22,3100.0,48.4,41.4,clear
222,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-23,3000.0,17.6,42.0,clear
223,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-05-23,3300.0,1.6,42.0,clear
224,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-23,3100.0,29.3,42.0,clear
225,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-25,4050.0,25.0,42.4,clear
226,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-25,3100.0,44.5,42.4,clear
227,Green Gram (Moong),Pipar City,2012-05-25,3200.0,2.7,42.4,clear
228,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-28,3800.0,5.7,42.6,clear
229,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-05-28,3300.0,71.2,42.6,clear
230,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-06,3950.0,1.8,39.8,clear
231,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-04-06,3250.0,44.1,39.8,clear
232,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-06,3850.0,2.2,38.0,clear
233,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-06,3600.0,24.1,38.0,clear
234,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-06,3950.0,35.0,38.0,clear
235,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-07-06,3250.0,25.5,38.0,clear
236,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-14,3950.0,30.0,38.0,clear
237,Green Gram (Moong),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-14,3450.0,28.2,38.0,clear
238,Bengal Gram(Gram),Jodhpur(Grain)(Bhagat Ki Kothi),2012-06-18,3950.0,7.1,40.0,clear
239,Green Gram (Moong),Jodhpur (Grain)(Mandor),2012-06-18,3400.0,0.7,40.0,clear
