,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
26147,26148,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-18,3200.0,1.5
26148,26149,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-02,2200.0,4.5
26149,26150,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-02,2400.0,1.0
26150,26151,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-02,2800.0,2.3
26151,26152,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-02,1200.0,4.1
26152,26153,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-14,3000.0,2.3
26153,26154,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-15,2000.0,3.0
26154,26155,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-16,2000.0,5.3
26155,26156,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-17,3000.0,3.5
26156,26157,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-18,3000.0,3.0
26157,26158,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-19,1200.0,3.0
26158,26159,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-22,1800.0,0.2
26159,26160,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-23,1500.0,2.8
26160,26161,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-24,2000.0,3.7
26161,26162,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-25,2500.0,2.2
26162,26163,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-26,3000.0,1.5
26163,26164,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-27,3000.0,1.7
26164,26165,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-03,2200.0,0.6
26165,26166,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-03,2000.0,1.3
26166,26167,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-03,1600.0,2.5
26167,26168,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-03,2000.0,2.9
26168,26169,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-03,1600.0,4.5
26169,26170,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-03,2500.0,1.8
26170,26171,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-03,3000.0,2.5
26171,26172,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-03,2500.0,1.5
26172,26173,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-03,3000.0,2.1
26173,26174,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-03,3000.0,1.5
26174,26175,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-03,3000.0,2.0
26175,26176,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-03,2000.0,2.9
26176,26177,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-13,2500.0,1.6
26177,26178,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-14,2200.0,0.5
26178,26179,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-15,2000.0,0.5
26179,26180,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-16,2000.0,2.0
26180,26181,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-17,3000.0,1.5
26181,26182,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-18,2500.0,3.1
26182,26183,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-19,1500.0,3.5
26183,26184,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-20,2200.0,0.5
26184,26185,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-22,2500.0,0.7
26185,26186,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-24,3000.0,0.5
26186,26187,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-25,2500.0,1.5
26187,26188,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-26,1500.0,1.4
26188,26189,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-27,1600.0,0.9
26189,26190,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-28,1800.0,2.0
26190,26191,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-29,2500.0,1.8
26191,26192,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-30,2000.0,2.5
26192,26193,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-31,1600.0,1.1
26193,26194,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-04,4000.0,2.5
26194,26195,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-04,1600.0,3.0
26195,26196,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-04,1500.0,0.3
26196,26197,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-04,1500.0,2.0
26197,26198,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-04,3500.0,1.5
26198,26199,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-04,2000.0,2.3
26199,26200,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-04,1800.0,2.5
26200,26201,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-04,1800.0,2.6
26201,26202,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-04,1600.0,2.3
26202,26203,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-04,2000.0,1.0
26203,26204,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-04,2000.0,2.3
26204,26205,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-04,2000.0,1.5
26205,26206,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-14,1800.0,1.5
26206,26207,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-15,2000.0,0.5
26207,26208,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-16,2000.0,1.5
26208,26209,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-17,1800.0,0.9
26209,26210,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-18,1800.0,1.5
26210,26211,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-19,1800.0,3.3
26211,26212,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-20,1500.0,2.2
26212,26213,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-22,4000.0,3.5
26213,26214,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-23,1800.0,4.6
26214,26215,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-24,1500.0,3.4
26215,26216,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-25,2000.0,3.5
26216,26217,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-26,1800.0,1.0
26217,26218,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-27,2000.0,2.2
26218,26219,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-28,3500.0,1.5
26219,26220,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-29,2000.0,2.5
26220,26221,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-30,1500.0,0.6
26221,26222,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-05,1400.0,2.8
26222,26223,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-05,1000.0,1.1
26223,26224,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-05,1300.0,1.3
26224,26225,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-05,1600.0,3.1
26225,26226,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-05,1600.0,0.8
26226,26227,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-05,1600.0,2.1
26227,26228,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-05,1600.0,3.8
26228,26229,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-05,1500.0,1.6
26229,26230,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-05,1200.0,1.8
26230,26231,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-05,1200.0,2.9
26231,26232,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-05,1200.0,2.7
26232,26233,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-14,1600.0,5.4
26233,26234,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-15,1600.0,3.0
26234,26235,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-16,1200.0,2.5
26235,26236,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-17,1500.0,1.8
26236,26237,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-18,1600.0,3.6
26237,26238,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-19,1600.0,1.9
26238,26239,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-06,3000.0,0.3
26239,26240,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-06,2000.0,0.6
26240,26241,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-06,4000.0,1.0
26241,26242,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-06,1800.0,2.3
26242,26243,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-06,1500.0,1.3
26243,26244,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-06,1300.0,0.1
26244,26245,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-06,1800.0,0.2
26245,26246,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-14,2000.0,0.2
26246,26247,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-16,1200.0,0.1
26247,26248,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-17,1200.0,1.2
26248,26249,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-26,2000.0,0.3
26249,26250,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-29,2000.0,0.2
26250,26251,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-07,2500.0,0.5
26251,26252,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-07,2800.0,0.4
26252,26253,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-07,2500.0,0.7
26253,26254,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-07,2800.0,0.4
26254,26255,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-07,3100.0,0.4
26255,26256,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-13,2500.0,1.8
26256,26257,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-14,2500.0,1.6
26257,26258,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-15,2500.0,1.2
26258,26259,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-16,2000.0,1.3
26259,26260,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-17,2500.0,1.5
26260,26261,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-20,2000.0,3.0
26261,26262,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-21,3000.0,0.9
26262,26263,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-22,2500.0,1.0
26263,26264,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-23,3000.0,2.0
26264,26265,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-24,2500.0,1.0
26265,26266,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-25,2000.0,0.5
26266,26267,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-26,3500.0,1.5
26267,26268,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-27,3500.0,2.3
26268,26269,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-28,3000.0,2.5
26269,26270,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-29,2500.0,2.0
26270,26271,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-30,2200.0,3.0
26271,26272,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-31,3000.0,3.5
26272,26273,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-08,3000.0,2.0
26273,26274,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-08,3000.0,0.5
26274,26275,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-08,3000.0,2.5
26275,26276,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-08,2500.0,2.2
26276,26277,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-08,3000.0,2.5
26277,26278,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-08,2000.0,0.5
26278,26279,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-08,2500.0,2.0
26279,26280,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-08,3000.0,2.5
26280,26281,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-08,3000.0,2.8
26281,26282,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-08,2500.0,1.7
26282,26283,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-08,3000.0,2.4
26283,26284,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-08,3000.0,1.5
26284,26285,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-13,3000.0,1.0
26285,26286,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-16,2000.0,0.4
26286,26287,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-19,2500.0,0.5
26287,26288,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-21,4000.0,0.5
26288,26289,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-22,2500.0,1.3
26289,26290,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-24,2000.0,1.0
26290,26291,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-25,3000.0,0.5
26291,26292,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-26,3000.0,0.5
26292,26293,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-28,3000.0,0.5
26293,26294,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-29,3000.0,0.6
26294,26295,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-31,2500.0,0.3
26295,26296,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-09,2600.0,1.0
26296,26297,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-09,3000.0,1.5
26297,26298,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-09,2500.0,1.5
26298,26299,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-09,2200.0,1.5
26299,26300,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-09,1800.0,1.6
26300,26301,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-09,2500.0,2.6
26301,26302,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-09,3000.0,3.9
26302,26303,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-09,2500.0,1.0
26303,26304,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-09,2500.0,4.0
26304,26305,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-09,3000.0,0.5
26305,26306,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-13,2500.0,1.0
26306,26307,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-14,2500.0,2.0
26307,26308,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-15,2500.0,3.5
26308,26309,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-17,2500.0,4.3
26309,26310,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-18,1800.0,0.2
26310,26311,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-19,4000.0,2.0
26311,26312,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-21,2500.0,0.3
26312,26313,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-22,2600.0,1.5
26313,26314,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-23,3000.0,2.5
26314,26315,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-24,3000.0,2.0
26315,26316,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-25,3000.0,0.8
26316,26317,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-26,3000.0,1.9
26317,26318,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-27,3000.0,1.5
26318,26319,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-28,4000.0,1.5
26319,26320,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-29,3000.0,1.7
26320,26321,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-30,4000.0,1.5
26321,26322,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-10,2800.0,3.1
26322,26323,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-10,3500.0,1.8
26323,26324,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-10,3000.0,100.0
26324,26325,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-10,3000.0,1.9
26325,26326,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-10,3000.0,2.6
26326,26327,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-10,3000.0,1.2
26327,26328,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-10,3000.0,1.9
26328,26329,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-10,2500.0,1.8
26329,26330,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-10,3000.0,2.5
26330,26331,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-13,2600.0,2.0
26331,26332,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-14,3200.0,2.6
26332,26333,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-16,2500.0,1.4
26333,26334,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-17,3000.0,2.1
26334,26335,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-18,3000.0,1.3
26335,26336,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-21,2500.0,1.0
26336,26337,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-22,2200.0,0.2
26337,26338,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-24,1000.0,3.0
26338,26339,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-25,2000.0,0.5
26339,26340,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-26,1500.0,0.3
26340,26341,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-28,3500.0,1.0
26341,26342,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-29,2500.0,3.3
26342,26343,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-30,3000.0,3.0
26343,26344,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-11,2000.0,3.5
26344,26345,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-11,2500.0,3.5
26345,26346,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-11,1800.0,1.9
26346,26347,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-11,2200.0,1.0
26347,26348,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-11,2000.0,1.0
26348,26349,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-11,2000.0,1.3
26349,26350,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-11,2000.0,5.0
26350,26351,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-11,2000.0,13.5
26351,26352,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-11,1500.0,4.4
26352,26353,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-11,2000.0,2.7
26353,26354,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-11,2000.0,2.5
26354,26355,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-11,2000.0,1.5
26355,26356,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-13,2000.0,0.5
26356,26357,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-15,2600.0,2.1
26357,26358,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-16,2000.0,3.2
26358,26359,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-17,1600.0,3.0
26359,26360,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-18,1600.0,3.9
26360,26361,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-19,1500.0,3.6
26361,26362,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-20,2000.0,6.7
26362,26363,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-21,2000.0,1.8
26363,26364,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-22,2000.0,1.6
26364,26365,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-23,1600.0,2.6
26365,26366,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-25,1500.0,4.0
26366,26367,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-26,1800.0,3.2
26367,26368,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-27,2000.0,2.0
26368,26369,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-29,1500.0,2.1
26369,26370,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-30,1600.0,2.2
26370,26371,Groundnut,Telangana,Hyderabad,Bowenpally,2012-01-12,1700.0,4.6
26371,26372,Groundnut,Telangana,Hyderabad,Bowenpally,2012-02-12,1500.0,3.5
26372,26373,Groundnut,Telangana,Hyderabad,Bowenpally,2012-03-12,1600.0,3.4
26373,26374,Groundnut,Telangana,Hyderabad,Bowenpally,2012-04-12,2000.0,1.6
26374,26375,Groundnut,Telangana,Hyderabad,Bowenpally,2012-05-12,2000.0,6.8
26375,26376,Groundnut,Telangana,Hyderabad,Bowenpally,2012-06-12,1800.0,4.0
26376,26377,Groundnut,Telangana,Hyderabad,Bowenpally,2012-07-12,2000.0,2.3
26377,26378,Groundnut,Telangana,Hyderabad,Bowenpally,2012-08-12,1600.0,4.3
26378,26379,Groundnut,Telangana,Hyderabad,Bowenpally,2012-09-12,1800.0,5.0
26379,26380,Groundnut,Telangana,Hyderabad,Bowenpally,2012-10-12,1500.0,2.6
26380,26381,Groundnut,Telangana,Hyderabad,Bowenpally,2012-11-12,1800.0,3.4
26381,26382,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-12,1800.0,4.3
26382,26383,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-14,1500.0,7.0
26383,26384,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-15,1800.0,4.8
26384,26385,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-16,1600.0,5.2
26385,26386,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-17,1600.0,1.8
26386,26387,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-18,1600.0,2.8
26387,26388,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-19,1600.0,2.4
26388,26389,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-20,2000.0,3.4
26389,26390,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-21,2000.0,2.5
26390,26391,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-22,2000.0,4.5
26391,26392,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-23,2000.0,3.5
26392,26393,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-24,1500.0,3.5
26393,26394,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-25,2000.0,1.4
26394,26395,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-26,2000.0,5.0
26395,26396,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-27,1500.0,1.5
26396,26397,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-28,1600.0,2.0
26397,26398,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-29,1600.0,2.2
26398,26399,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-30,1800.0,2.6
26399,26400,Groundnut,Telangana,Hyderabad,Bowenpally,2012-12-31,2000.0,0.7
171746,171747,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-01,1800.0,1.3
171747,171748,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-01,1600.0,0.4
171748,171749,Groundnut,Telangana,Hyderabad,Bowenpally,2013-03-01,2000.0,2.9
171749,171750,Groundnut,Telangana,Hyderabad,Bowenpally,2013-04-01,1800.0,2.2
171750,171751,Groundnut,Telangana,Hyderabad,Bowenpally,2013-05-01,1800.0,2.5
171751,171752,Groundnut,Telangana,Hyderabad,Bowenpally,2013-06-01,1800.0,2.0
171752,171753,Groundnut,Telangana,Hyderabad,Bowenpally,2013-07-01,1800.0,2.3
171753,171754,Groundnut,Telangana,Hyderabad,Bowenpally,2013-08-01,2000.0,1.0
171754,171755,Groundnut,Telangana,Hyderabad,Bowenpally,2013-09-01,1500.0,1.0
171755,171756,Groundnut,Telangana,Hyderabad,Bowenpally,2013-10-01,1600.0,0.8
171756,171757,Groundnut,Telangana,Hyderabad,Bowenpally,2013-12-01,1800.0,8.7
171757,171758,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-13,1500.0,1.5
171758,171759,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-17,2000.0,2.2
171759,171760,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-18,1500.0,1.3
171760,171761,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-19,1500.0,0.9
171761,171762,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-20,1600.0,1.2
171762,171763,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-21,2000.0,3.5
171763,171764,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-22,2000.0,2.5
171764,171765,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-23,1600.0,3.9
171765,171766,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-24,1500.0,3.9
171766,171767,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-25,1600.0,4.2
171767,171768,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-26,2000.0,1.9
171768,171769,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-27,1500.0,2.6
171769,171770,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-28,2000.0,3.0
171770,171771,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-29,1600.0,1.5
171771,171772,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-30,1200.0,3.5
171772,171773,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-31,2000.0,2.3
171773,171774,Groundnut,Telangana,Hyderabad,Bowenpally,2013-01-02,2000.0,5.5
171774,171775,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-02,1800.0,1.6
171775,171776,Groundnut,Telangana,Hyderabad,Bowenpally,2013-05-02,2000.0,0.7
171776,171777,Groundnut,Telangana,Hyderabad,Bowenpally,2013-07-02,1800.0,2.3
171777,171778,Groundnut,Telangana,Hyderabad,Bowenpally,2013-08-02,1800.0,3.5
171778,171779,Groundnut,Telangana,Hyderabad,Bowenpally,2013-09-02,1600.0,1.5
171779,171780,Groundnut,Telangana,Hyderabad,Bowenpally,2013-11-02,1800.0,1.8
171780,171781,Groundnut,Telangana,Hyderabad,Bowenpally,2013-12-02,2000.0,2.7
171781,171782,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-14,1500.0,3.1
171782,171783,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-15,1500.0,1.4
171783,171784,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-16,1500.0,2.1
171784,171785,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-17,1500.0,2.0
171785,171786,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-18,1500.0,2.1
171786,171787,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-19,1800.0,5.9
171787,171788,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-20,1800.0,3.0
171788,171789,Groundnut,Telangana,Hyderabad,Bowenpally,2013-02-21,1600.0,3.3
