,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
33180,33181,Arhar (Tur/Red Gram),Uttar Pradesh,Etawah,Etawah,2012-07-05,5750.0,0.5
81203,81204,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2012-07-05,3500.0,1.4
242612,242613,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-02,4465.0,2.6
242613,242614,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-23,3840.0,6.5
242614,242615,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-25,3800.0,7.0
242615,242616,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-26,3950.0,4.0
242616,242617,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-27,4000.0,3.6
242617,242618,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-28,4050.0,3.0
242618,242619,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-03,3900.0,6.0
242619,242620,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-03,3850.0,7.5
242620,242621,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-03,3800.0,9.0
242621,242622,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-03,3700.0,11.0
242622,242623,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-03,3725.0,10.0
242623,242624,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-03,3700.0,11.5
242624,242625,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-03,3710.0,10.0
242625,242626,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-03,3650.0,11.0
242626,242627,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-03,3600.0,12.5
242627,242628,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-03,3625.0,5.0
242628,242629,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-13,3650.0,4.0
242629,242630,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-14,3600.0,4.5
242630,242631,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-15,3600.0,7.5
242631,242632,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-16,3550.0,8.5
242632,242633,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-18,3600.0,3.6
242633,242634,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-19,3550.0,4.5
242634,242635,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-20,3500.0,7.5
242635,242636,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-21,3425.0,9.0
242636,242637,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-22,3400.0,10.0
242637,242638,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-23,3440.0,4.0
242638,242639,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-25,3400.0,5.0
242639,242640,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-26,3300.0,7.0
242640,242641,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-29,3275.0,4.8
242641,242642,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-30,3275.0,4.5
242642,242643,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-04,3300.0,6.0
242643,242644,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-04,3400.0,4.5
242644,242645,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-04,3400.0,7.0
242645,242646,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-04,3300.0,8.0
242646,242647,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-04,3400.0,6.0
242647,242648,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-04,3400.0,7.0
242648,242649,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-04,3325.0,7.5
242649,242650,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-04,3300.0,8.0
242650,242651,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-04,3325.0,5.0
242651,242652,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-04,3250.0,7.5
242652,242653,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-04,3400.0,6.0
242653,242654,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-13,3360.0,7.0
242654,242655,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-15,3425.0,5.0
242655,242656,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-16,3475.0,3.5
242656,242657,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-17,3460.0,4.0
242657,242658,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-18,3440.0,4.5
242658,242659,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-19,3450.0,4.2
242659,242660,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-20,3500.0,4.0
242660,242661,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-22,3500.0,3.2
242661,242662,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-23,3525.0,3.0
242662,242663,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-24,3500.0,3.5
242663,242664,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-25,3510.0,3.0
242664,242665,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-26,3450.0,3.5
242665,242666,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-27,3450.0,4.0
242666,242667,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-29,3550.0,3.0
242667,242668,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-30,3600.0,2.7
242668,242669,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-05,3600.0,3.7
242669,242670,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-05,3600.0,4.0
242670,242671,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-05,3625.0,3.5
242671,242672,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-05,3625.0,3.2
242672,242673,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-05,3600.0,4.0
242673,242674,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-05,3625.0,3.5
242674,242675,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-05,3625.0,3.0
242675,242676,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-05,3600.0,3.8
242676,242677,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-05,3550.0,4.0
242677,242678,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-05,3470.0,4.5
242678,242679,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-13,3400.0,5.0
242679,242680,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-14,3350.0,5.5
242680,242681,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-15,3300.0,6.0
242681,242682,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-16,3250.0,8.0
242682,242683,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-17,3250.0,8.5
242683,242684,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-18,3265.0,8.0
242684,242685,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-20,3350.0,6.5
242685,242686,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-21,3370.0,5.5
242686,242687,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-22,3410.0,4.6
242687,242688,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-23,3425.0,4.0
242688,242689,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-24,3350.0,3.0
242689,242690,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-25,3300.0,2.5
242690,242691,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-27,3250.0,3.5
242691,242692,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-28,3250.0,4.0
242692,242693,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-29,3275.0,3.4
242693,242694,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-30,3250.0,3.6
242694,242695,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-31,3240.0,4.0
242695,242696,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-06,3270.0,3.0
242696,242697,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-06,3550.0,3.7
242697,242698,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-06,3540.0,4.0
242698,242699,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-06,3450.0,4.2
242699,242700,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-06,3470.0,3.8
242700,242701,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-06,3400.0,4.0
242701,242702,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-06,3350.0,4.5
242702,242703,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-06,3325.0,5.0
242703,242704,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-06,3325.0,4.0
242704,242705,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-06,3250.0,4.6
242705,242706,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-13,3200.0,4.8
242706,242707,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-14,3230.0,4.2
242707,242708,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-15,3230.0,3.6
242708,242709,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-17,3200.0,2.0
242709,242710,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-18,3200.0,1.5
242710,242711,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-19,3150.0,3.6
242711,242712,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-20,3150.0,3.5
242712,242713,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-21,3200.0,3.0
242713,242714,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-22,3210.0,2.6
242714,242715,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-24,3210.0,3.6
242715,242716,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-25,3225.0,3.5
242716,242717,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-26,3200.0,5.0
242717,242718,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-27,3175.0,6.0
242718,242719,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-28,3160.0,6.5
242719,242720,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-29,3175.0,5.5
242720,242721,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-07,3200.0,2.4
242721,242722,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-07,3240.0,2.0
242722,242723,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-07,3210.0,4.0
242723,242724,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-07,3200.0,4.5
242724,242725,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-07,3250.0,4.0
242725,242726,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-07,3250.0,3.5
242726,242727,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-07,3230.0,4.0
242727,242728,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-07,3250.0,3.5
242728,242729,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-07,3200.0,4.5
242729,242730,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-07,3225.0,3.5
242730,242731,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-07,3210.0,4.5
242731,242732,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-13,3100.0,5.0
242732,242733,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-15,3100.0,4.0
242733,242734,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-16,3060.0,3.6
242734,242735,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-17,3000.0,4.0
242735,242736,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-18,3000.0,3.5
242736,242737,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-19,3000.0,3.0
242737,242738,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-20,2900.0,3.5
242738,242739,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-22,2800.0,4.0
242739,242740,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-23,2770.0,45.0
242740,242741,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-24,2750.0,48.0
242741,242742,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-25,2760.0,40.0
242742,242743,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-26,2700.0,52.0
242743,242744,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-27,2715.0,44.0
242744,242745,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-29,2800.0,40.0
242745,242746,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-30,2840.0,35.0
242746,242747,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-31,2790.0,55.0
242747,242748,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-08,2775.0,56.0
242748,242749,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-08,2780.0,40.0
242749,242750,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-08,2750.0,44.0
242750,242751,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-08,2850.0,42.0
242751,242752,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-08,2775.0,40.0
242752,242753,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-08,2725.0,45.0
242753,242754,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-08,2710.0,47.0
242754,242755,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-08,2750.0,40.0
242755,242756,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-08,2775.0,45.0
242756,242757,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-08,2760.0,35.0
242757,242758,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-13,2715.0,45.0
242758,242759,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-14,2750.0,40.0
242759,242760,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-16,2775.0,2.0
242760,242761,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-17,2800.0,1.8
242761,242762,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-19,2700.0,3.4
242762,242763,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-20,2730.0,2.5
242763,242764,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-21,2750.0,2.2
242764,242765,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-22,2750.0,2.6
242765,242766,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-23,2800.0,2.4
242766,242767,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-24,2825.0,2.0
242767,242768,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-26,2775.0,2.8
242768,242769,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-27,2750.0,3.5
242769,242770,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-28,2700.0,4.0
242770,242771,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-29,2675.0,4.4
242771,242772,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-30,2600.0,4.6
242772,242773,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-31,2600.0,3.5
242773,242774,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-09,2650.0,3.2
242774,242775,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-03-09,2750.0,3.0
242775,242776,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-04-09,2800.0,2.5
242776,242777,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-09,2800.0,3.8
242777,242778,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-09,2775.0,4.5
242778,242779,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-09,2775.0,4.0
242779,242780,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-09,2880.0,3.5
242780,242781,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-09,2900.0,3.2
242781,242782,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-09,2875.0,3.8
242782,242783,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-09,2900.0,3.0
242783,242784,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-13,2875.0,3.6
242784,242785,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-14,2850.0,2.5
242785,242786,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-16,2860.0,3.0
242786,242787,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-17,2800.0,4.0
242787,242788,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-18,2825.0,3.6
242788,242789,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-19,2825.0,3.5
242789,242790,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-20,2870.0,3.2
242790,242791,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-21,2880.0,3.0
242791,242792,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-23,2900.0,2.5
242792,242793,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-24,2910.0,2.0
242793,242794,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-25,2925.0,1.5
242794,242795,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-26,2920.0,2.0
242795,242796,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-27,2950.0,1.8
242796,242797,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-28,2900.0,2.0
242797,242798,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-30,2875.0,3.0
242798,242799,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-10,2830.0,4.0
242799,242800,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-10,2800.0,4.0
242800,242801,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-10,2825.0,2.5
242801,242802,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-10,2850.0,2.0
242802,242803,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-10,2850.0,5.0
242803,242804,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-10,2800.0,5.3
242804,242805,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-14,2750.0,5.5
242805,242806,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-15,2740.0,6.0
242806,242807,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-16,2700.0,6.5
242807,242808,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-17,2700.0,5.0
242808,242809,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-18,2710.0,4.0
242809,242810,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-19,2710.0,3.5
242810,242811,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-21,2650.0,4.0
242811,242812,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-22,2625.0,5.0
242812,242813,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-23,2610.0,5.2
242813,242814,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-24,2600.0,6.5
242814,242815,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-25,2600.0,5.0
242815,242816,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-26,2625.0,4.0
242816,242817,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-28,2600.0,4.4
242817,242818,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-29,2650.0,4.0
242818,242819,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-30,2630.0,4.2
242819,242820,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-31,2650.0,5.0
242820,242821,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-01-11,2610.0,8.0
242821,242822,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-02-11,2630.0,7.0
242822,242823,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-05-11,2700.0,5.0
242823,242824,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-06-11,2750.0,4.0
242824,242825,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-07-11,2750.0,3.5
242825,242826,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-08-11,2780.0,3.0
242826,242827,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-11,2800.0,2.6
242827,242828,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-11,2810.0,2.5
242828,242829,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-11,2850.0,2.0
242829,242830,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-13,2950.0,1.6
242830,242831,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-14,2970.0,1.5
242831,242832,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-15,2900.0,2.2
242832,242833,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-16,2870.0,2.8
242833,242834,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-18,2850.0,8.0
242834,242835,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-19,2880.0,7.0
242835,242836,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-20,2870.0,10.0
242836,242837,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-21,2875.0,8.5
242837,242838,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-22,2800.0,10.0
242838,242839,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-23,2800.0,9.0
242839,242840,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-25,2700.0,11.0
242840,242841,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-26,2700.0,8.5
242841,242842,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-27,2850.0,7.0
242842,242843,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-28,2850.0,7.5
242843,242844,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-29,2900.0,5.0
242844,242845,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-30,2850.0,6.0
242845,242846,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-09-12,2680.0,6.0
242846,242847,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-10-12,2690.0,5.0
242847,242848,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-11-12,2700.0,3.0
242848,242849,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-12,2800.0,2.0
242849,242850,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-13,2810.0,2.0
242850,242851,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-14,2850.0,1.5
242851,242852,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-16,2800.0,2.0
242852,242853,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-17,2760.0,2.5
242853,242854,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-18,2700.0,3.0
242854,242855,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-19,2650.0,3.5
242855,242856,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-20,2650.0,3.0
242856,242857,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-21,2600.0,3.4
242857,242858,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-23,2625.0,3.5
242858,242859,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-24,2650.0,3.8
242859,242860,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-25,2600.0,4.0
242860,242861,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-26,2600.0,5.0
242861,242862,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-27,2625.0,4.5
242862,242863,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-28,2650.0,4.0
242863,242864,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-30,2650.0,3.0
242864,242865,Bengal Gram(Gram),Uttar Pradesh,Etawah,Etawah,2013-12-31,2600.0,8.0
242865,242866,Bengal Gram(Gram),Uttar Pradesh,Etawah,Jasvantnagar,2013-09-08,2745.0,3.2
242866,242867,Bengal Gram(Gram),Uttar Pradesh,Etawah,Jasvantnagar,2013-10-08,2730.0,3.5
242867,242868,Bengal Gram(Gram),Uttar Pradesh,Etawah,Jasvantnagar,2013-12-08,2735.0,3.0
