,Unnamed: 0,comm_name,state_name,district_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity
35601,35602,Mustard,Haryana,Hissar,Adampur,2012-01-23,3031.0,3.5
35602,35603,Mustard,Haryana,Hissar,Adampur,2012-01-24,3040.0,1.0
35603,35604,Mustard,Haryana,Hissar,Adampur,2012-03-15,3171.0,4.0
35604,35605,Mustard,Haryana,Hissar,Adampur,2012-03-16,3251.0,13.0
35605,35606,Mustard,Haryana,Hissar,Adampur,2012-03-19,3459.0,15.9
35606,35607,Mustard,Haryana,Hissar,Adampur,2012-03-20,3642.0,9.3
35607,35608,Mustard,Haryana,Hissar,Adampur,2012-03-21,3673.0,0.9
35608,35609,Mustard,Haryana,Hissar,Adampur,2012-03-22,3750.0,2.2
35609,35610,Mustard,Haryana,Hissar,Adampur,2012-03-23,3770.0,7.5
35610,35611,Mustard,Haryana,Hissar,Adampur,2012-03-24,3718.0,2.0
35611,35612,Mustard,Haryana,Hissar,Adampur,2012-03-26,3611.0,26.1
35612,35613,Mustard,Haryana,Hissar,Adampur,2012-03-27,3485.0,27.8
35613,35614,Mustard,Haryana,Hissar,Adampur,2012-03-28,3320.0,10.6
35614,35615,Mustard,Haryana,Hissar,Adampur,2012-03-29,3456.0,7.4
35615,35616,Mustard,Haryana,Hissar,Adampur,2012-03-30,3415.0,8.1
35616,35617,Mustard,Haryana,Hissar,Adampur,2012-03-31,3434.0,25.0
35617,35618,Mustard,Haryana,Hissar,Adampur,2012-02-04,3652.0,40.3
35618,35619,Mustard,Haryana,Hissar,Adampur,2012-03-04,3600.0,41.5
35619,35620,Mustard,Haryana,Hissar,Adampur,2012-04-04,3576.0,24.3
35620,35621,Mustard,Haryana,Hissar,Adampur,2012-05-04,3574.0,50.3
35621,35622,Mustard,Haryana,Hissar,Adampur,2012-06-04,3443.0,8.5
35622,35623,Mustard,Haryana,Hissar,Adampur,2012-07-04,3400.0,77.6
35623,35624,Mustard,Haryana,Hissar,Adampur,2012-09-04,3500.0,171.1
35624,35625,Mustard,Haryana,Hissar,Adampur,2012-10-04,3561.0,175.8
35625,35626,Mustard,Haryana,Hissar,Adampur,2012-11-04,3700.0,160.3
35626,35627,Mustard,Haryana,Hissar,Adampur,2012-12-04,3521.0,220.6
35627,35628,Mustard,Haryana,Hissar,Adampur,2012-04-13,3500.0,206.1
35628,35629,Mustard,Haryana,Hissar,Adampur,2012-04-14,3485.0,139.8
35629,35630,Mustard,Haryana,Hissar,Adampur,2012-04-16,3466.0,169.9
35630,35631,Mustard,Haryana,Hissar,Adampur,2012-04-17,3450.0,126.1
35631,35632,Mustard,Haryana,Hissar,Adampur,2012-04-18,3410.0,73.8
35632,35633,Mustard,Haryana,Hissar,Adampur,2012-04-19,3400.0,75.6
35633,35634,Mustard,Haryana,Hissar,Adampur,2012-04-20,3476.0,96.6
35634,35635,Mustard,Haryana,Hissar,Adampur,2012-04-21,3400.0,63.9
35635,35636,Mustard,Haryana,Hissar,Adampur,2012-04-23,3400.0,85.4
35636,35637,Mustard,Haryana,Hissar,Adampur,2012-04-24,3351.0,56.4
35637,35638,Mustard,Haryana,Hissar,Adampur,2012-04-25,3370.0,49.6
35638,35639,Mustard,Haryana,Hissar,Adampur,2012-04-26,3352.0,6.8
35639,35640,Mustard,Haryana,Hissar,Adampur,2012-04-27,3100.0,24.2
35640,35641,Mustard,Haryana,Hissar,Adampur,2012-04-28,3349.0,20.6
35641,35642,Mustard,Haryana,Hissar,Adampur,2012-09-05,3450.0,1.5
35642,35643,Mustard,Haryana,Hissar,Adampur,2012-10-05,3450.0,1.5
35643,35644,Mustard,Haryana,Hissar,Adampur,2012-12-05,3362.0,5.4
35644,35645,Mustard,Haryana,Hissar,Adampur,2012-05-14,3380.0,17.1
35645,35646,Mustard,Haryana,Hissar,Adampur,2012-05-15,3382.0,22.8
35646,35647,Mustard,Haryana,Hissar,Adampur,2012-05-16,3350.0,28.4
35647,35648,Mustard,Haryana,Hissar,Adampur,2012-05-17,3350.0,36.3
35648,35649,Mustard,Haryana,Hissar,Adampur,2012-05-18,3300.0,46.7
35649,35650,Mustard,Haryana,Hissar,Adampur,2012-05-19,3325.0,53.2
35650,35651,Mustard,Haryana,Hissar,Adampur,2012-05-21,3111.0,60.2
35651,35652,Mustard,Haryana,Hissar,Adampur,2012-05-22,3270.0,78.0
35652,35653,Mustard,Haryana,Hissar,Adampur,2012-05-23,3221.0,71.9
35653,35654,Mustard,Haryana,Hissar,Adampur,2012-05-24,3226.0,71.8
35654,35655,Mustard,Haryana,Hissar,Adampur,2012-05-25,3300.0,55.9
35655,35656,Mustard,Haryana,Hissar,Adampur,2012-05-26,3300.0,57.5
35656,35657,Mustard,Haryana,Hissar,Adampur,2012-05-28,3324.0,77.0
35657,35658,Mustard,Haryana,Hissar,Adampur,2012-05-29,3350.0,63.1
35658,35659,Mustard,Haryana,Hissar,Adampur,2012-05-30,3382.0,67.7
35659,35660,Mustard,Haryana,Hissar,Adampur,2012-05-31,3400.0,26.7
35660,35661,Mustard,Haryana,Hissar,Adampur,2012-02-06,3250.0,38.2
35661,35662,Mustard,Haryana,Hissar,Adampur,2012-04-06,3241.0,65.1
35662,35663,Mustard,Haryana,Hissar,Adampur,2012-05-06,3242.0,65.9
35663,35664,Mustard,Haryana,Hissar,Adampur,2012-06-06,3340.0,60.1
35664,35665,Mustard,Haryana,Hissar,Adampur,2012-07-06,3316.0,48.0
35665,35666,Mustard,Haryana,Hissar,Adampur,2012-08-06,3300.0,72.4
35666,35667,Mustard,Haryana,Hissar,Adampur,2012-09-06,3131.0,63.6
35667,35668,Mustard,Haryana,Hissar,Adampur,2012-11-06,3291.0,62.0
35668,35669,Mustard,Haryana,Hissar,Adampur,2012-12-06,3290.0,51.4
35669,35670,Mustard,Haryana,Hissar,Adampur,2012-06-13,3265.0,37.7
35670,35671,Mustard,Haryana,Hissar,Adampur,2012-06-14,3285.0,45.0
35671,35672,Mustard,Haryana,Hissar,Adampur,2012-06-15,3258.0,48.3
35672,35673,Mustard,Haryana,Hissar,Adampur,2012-06-16,3266.0,46.9
35673,35674,Mustard,Haryana,Hissar,Adampur,2012-06-18,3000.0,42.1
35674,35675,Mustard,Haryana,Hissar,Adampur,2012-06-19,3262.0,52.9
35675,35676,Mustard,Haryana,Hissar,Adampur,2012-06-20,3252.0,51.0
35676,35677,Mustard,Haryana,Hissar,Adampur,2012-06-21,3260.0,28.6
35677,35678,Mustard,Haryana,Hissar,Adampur,2012-06-22,3280.0,41.1
35678,35679,Mustard,Haryana,Hissar,Adampur,2012-06-23,3290.0,31.6
35679,35680,Mustard,Haryana,Hissar,Adampur,2012-06-25,3295.0,36.9
